2012-03-30T22:34:30 mysql_thread_id	user	hostname	txn_status	time	undo_log_entries	query_text
2012-03-30T22:34:39 333	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171760','1652090719',1333146878909,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '1652090719', timestamp = 1333146878909, val = _binary'&5588099089565786112?????M?????M
2012-03-30T22:34:39 335	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171944','1888130225',1333146878963,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '1888130225', timestamp = 1333146878963, val = _binary'&5
2012-03-30T22:34:39 336	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171768','1753771343',1333146878911,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '1753771343', timestamp = 1333146878911, val = _binar
2012-03-30T22:34:39 337	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171719','4002432195',1333146878900,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '4002432195', timestamp = 1333146878900, val = _binary'&5588116537870426112????M????M\0membe
2012-03-30T22:34:39 338	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171755','1690117201',1333146878908,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '1690117201', timestamp = 1333146878908, val = _binary'&5588095956420698112?????M?????M\0 member:117062123\Ztwitter:tweet?@tmybj ????????????????????????????w ??????????????????????????????\0\0\0\0\0\0\0\0\0\0\0\0\0\0t
2012-03-30T22:34:39 339	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171786','3726422620',1333146878914,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3726422620', timestamp =
2012-03-30T22:34:39 340	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171935','3619414365',1333146878949,_binary[BINARY]ll #run today! http://t.co/T98EaQXb\0\"Coach Opportunity(http://t.co/T98EaQXb?© Product Partners, LLC. All rights reserved. Results may vary. Exercise and proper diet are necessary to achieve and maintain weight loss and muscle definition. Always consult your physician before beginning any exercise...\0\0\0\0\0?http://beach
2012-03-30T22:34:39 356	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171742','860976615',1333146878905,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag=
2012-03-30T22:34:39 358	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171979','3798671427',1333146878971,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3798671427', timestamp = 1333146878971, val = _binary'&5588109311084634112?????M?????M
2012-03-30T22:34:39 360	espresso	localhost	ACTIVE	00:00	1	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171665','1667773615',1333146878890,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '1667773615', timestamp
2012-03-30T22:34:39 361	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171737','4112177763',1333146878904,_binary'&5588120228857946112?????M?????M\0member:84768357\Ztwitter:tweet?Na het succes van “AOT EVENTS presents: Veenendaal Lacht!” is het nu tijd om Veenendaal weer te laten lachen. We hebbe…http://t.co/Qb0eKdUl\0`AOT EVENTS presents: VEENENDAAL LACHT \"Alweer\" !(http://t.co/Qb0eKdUl?Facebook is a social utility that connects people with friends and others who work, study and live around them. People use Facebook to keep up with friends, upload an unlimited number
2012-03-30T22:34:39 362	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171827','3400569518',1333146878922,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3400569518', timestamp = 1333146878922, val = _binar
2012-03-30T22:34:39 363	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171773','171372235',1333146878911,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '171372235
2012-03-30T22:34:39 365	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171799','2067376138',1333146878916,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '2067376138', timestamp = 1333146878916, val = _bina
2012-03-30T22:34:39 366	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171878','2112272375',1333146878933,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '2112272375', timestamp = 1333146878933, val = _binary'&558
2012-03-30T22:34:39 367	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171845','409243094',1333146878926,_binary'&5588107541088346112?????M?????M\0member:18337775\Ztwitter:tweet?#RGP \[BINARY] wants to turn science into products and services(http://t.co/NRFpZQsA?Ministers of the European Union (EU) and Members of European Parliament (EP) are gathered in Brussels to discuss the plans of the eighth European Framework Programme for res
2012-03-30T22:34:39 368	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171801','347677650',1333146878917,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '347677650', timestamp = 1333146878917, val = _binary'&558813764780245811
2012-03-30T22:34:39 369	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171724','820200801',1333146878901,_binary[BINARY]s according to Jay Glazer. More to come.\0\0\0\0\0nhttp://img.gawkerassets.com/img/17h4zyhd7sl93jpg/fb.jpg\0\0\0\0\0\0\0\0twitter\0\0\0\0\0\0\0\0\0enUS\0\0\0\0,li.verbs.twitter.Tweet\0?{\"is-retweet\":\"tr
2012-03-30T22:34:39 371	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413172004','3036080118',1333146878982,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3036080118', timestamp = 1333146878982, val = _binary[BINARY], schema_version = 1
2012-03-30T22:34:39 372	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171966','3546203447',1333146878968,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3546203447', timestamp = 1333
2012-03-30T22:34:39 373	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171791','1742169740',1333146878915,_binary'&5588108296063066112?????M?????M\0member:37555405\Ztwitter:tweet?According to the New York Times, the Private Sector is experiencing job growth. What does this mean for you and you... http://t.co/gtjVsuDz\0HPrivate Sector Jobs Grew in February(http://t.co/gtjVsuDz?The ADP National Employment Report showed the private sector added 216,000 jobs last month, exceeding economists’ expectations.\0\0\0\0\0xhttp://graphics8.nytimes.com/images/common/icons/t_wb_75.gi
2012-03-30T22:34:39 374	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171913','3631561404',1333146878939,_binary[BINARY] eyes. | http://t.co/GTZYsV7a\0LEliminate Fear, Save Lives, and Thrive(http://t.co/GTZYsV7a?Your patients, like just about everyone in the country today, worry about bills, about paying for what they need let alone the luxuries in life. Sometimes, patients believe dental care is an optional part of thei
2012-03-30T22:34:39 377	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171900','703691425',1333146878937,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '703691425', timestamp = 1333146878937, val = _binary'
2012-03-30T22:34:39 378	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171834','335307130',1333146878923,_binary'&5588105452324954112?????M?????M\0member:47826791\Ztwitter:tweetRReturn Of The Datsun http://t.co/p6LKEHGC\0(Return Of The Datsun(http://t.co/p6LKEHGC?Since Nissan CEO Carlos Ghosn took the helm, the Japanese Giant has advanced in leaps and bounds.  There have been bumps in the road for sure but nothing as dark as the early 90?s when Nissan was almost no more.  Before it was...\0\0\0\0\0vhttp://dailyderbi.com/wp-content/uploads/2012/03/datsun.jpg\0\0\0\0\0\0\
2012-03-30T22:34:39 389	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413171706','2894807651',1333146878899,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '2894807651', timestamp = 1333146878899, val = _binary'&5588099190229082112?????M?????M
2012-03-30T22:34:43 295	espresso	localhost	ACTIVE	00:00	1	
2012-03-30T22:34:47 245	espresso	localhost	ACTIVE	00:00	1	commit
2012-03-30T22:34:47 372	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413212679','3334648032',1333146887101,_binary'&5588117892630618112?????M?????M\0member:61920342\Ztwitter:tweet?¿Te Gustar?a Convertirte en un... Gigante Interior? Haz Click AQUÍ: http://t.co/tNvlCwAn #crecimientopersonal\0ZEsta p?gina NO se encuentra disponible a?n.(http://t.co/tNvlCwAn?Esta p?gina NO se encuentra disponible a?n . En estos momentos nos encontramos trabajando en la realizaci?n del curso que estar? listo... MUY PRONTO Si est?s interesado/a en descubrir los secretos elgiganteinterio
2012-03-30T22:34:49 211	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 226	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 228	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 258	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 283	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 295	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 300	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 302	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 313	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 320	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 321	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 323	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 330	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 333	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 336	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 339	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 340	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 346	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 348	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 357	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 358	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 360	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 361	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 362	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 363	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 365	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 366	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 367	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 368	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 369	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 372	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:49 375	espresso	localhost	ACTIVE (PREPARED)	00:00	1	commit
2012-03-30T22:34:55 361	espresso	localhost	ACTIVE	00:00	1	commit
2012-03-30T22:34:57 211	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263725','2558760149',1333146897321,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '2558760149', timestamp = 1333146897321, val = _
2012-03-30T22:34:57 228	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263794','485636059',1333146897335,_binary'&5588102474369114112?????M?????M\0member:27103546\Ztwitter:tweet?“@BreakingNews: NFL News: Jets acquire Tim Tebow from Broncos for 4th-round pick - @NBCSports http://t.co/lUPk601b”\0rJets acquire Tim Tebow from Broncos for fourth-round pick(http://t.co/lUPk601b?Tim Tebow is a New York Jet. One day after the Denver Broncos signed Peyton Manning as their new starting quarterback, Denver has traded Tebow to the Jets for a fourth-round draft pick.\0\0\0\0\0?htt
2012-03-30T22:34:57 245	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263901','1161703609',1333146897378,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '1161703609', timestamp = 1333146897378, val = _binary'&5588117259290714112?????M?????M\0 member:160764122\Ztwitter:tweetHoi\0\0\0\0\0\0\0\0\0\0\0\0\0\0twi
2012-03-30T22:34:57 258	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263916','919119414',1333146897380,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '919119414', timestamp = 1333146897380, val = _binary'&5588115661260890112?????M?????M\0 membe
2012-03-30T22:34:57 283	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263952','657402057',1333146897387,_binary[BINARY],1) ON DUPLICATE KEY UP
2012-03-30T22:34:57 300	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263761','3224038019',1333146897328,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3224038019', timestamp = 1333146897328, val = _
2012-03-30T22:34:57 318	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263769','3412103497',1333146897329,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3412103497', timestamp = 1333146897329, val = _binary'&5588100297525338112????M????M\0member:94650755\Ztwitter:tweet2@guri0000 ????? ??
2012-03-30T22:34:57 320	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263787','2821092540',1333146897333,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '2821092540', timestamp = 1333146897333, val = _
2012-03-30T22:34:57 321	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263831','1976422017',1333146897343,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '1976422017', timestamp = 1333146897343, val = _binary'&55881236010783621
2012-03-30T22:34:57 328	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263875','2957684551',1333146897351,_binary[BINARY]s photo on...\0\0\0\0\0?http://distilleryimage4.instagram.com/7b73e1ca737711e181bd12313817987b_7.jpg\0\0\0\0\0\0\0\0twitter\0\0\0\0\0\0\0\0\0enUS\0\0\0\0,li.verbs.twitter.Tweet\0?{\"is-retweet\":\"false\",\"twitter-shareid\":\"182512234793148416\",\"twitter-userid\":\"35
2012-03-30T22:34:57 330	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263945','2469263086',1333146897385,_binary'&5588137991735386112?????M?????M\0member:22690677\Ztwitter:tweet?Portaria que certifica pr?teses ser? publicada em março: A Anvisa decidiu nesta terça-feira que os implantes imp... http://t.co/tIp1t3q6\0tPortaria que certifica pr?teses ser? publicada em março(http://t.co/tIp1t3q6?A Anvisa decidiu nesta terça-feira que os implantes importados ter?o de receber aprovaç?o do Inmetro para serem vendidos no mercado...\0\0\0\0\0?http://assets1.exame.abri
2012-03-30T22:34:57 332	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263707','3681165821',1333146897318,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '3681165821', timestamp = 1333146897318, val = _binary'&5588111378876506112????M????M\0member:43155611\Ztwitter:tweetP@Ma
2012-03-30T22:34:57 333	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263930','3693244579',1333146897383,_binary'&5588138771875930112????M????M\0member:18309079\Ztwitter:tweet?Hey NY peeps anything good and geeky going on this weekend? Thinking of going to MOCCA for http://t.co/x9876rSW\0JCelebrating Will Eisner Week at MoCCA(http://t.co/x9876rSW?NEW YORK (February 23, 2012) – The Museum of Comic and Cartoon Art – MoCCA – and The Will and Ann Eisner Family Foundation are proud to announce that, as part of Will Eisner Week, 2012, they will be presenting a pane
2012-03-30T22:34:57 337	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263800','4209515236',1333146897337,_binary[BINARY]ll be able to produce.\0\0\0\0\0hhttp://cms2.good.is/posts/full_1332178148playboy.jpg\0\0\0\0\0\0\0\0twitter\0\0\0\0\0\0\0\0\0en
2012-03-30T22:34:57 339	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263938','3570573166',1333146897384,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '357
2012-03-30T22:34:57 340	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263857','2134956938',1333146897348,_binary[BINARY],1) ON DUPLICATE
2012-03-30T22:34:57 345	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263862','3446440673',1333146897348,_binary'&5588118957983834112????M????M\0member:14900242\Ztwitter:tweet?My Damn Channel Launches The First Live Comedy Show On YouTube: If you love YouTube and you love live comedy, yo... http://t.co/GaMM6tJI\0|My Damn Channel Launches The First Live Comedy Show On YouTube(http://t.co/GaMM6tJI?If you love YouTube and you love live comedy, you’re about to have your mind blown because My Damn Channel is launching a daily 60-minute live comedy show…on YouTube!\0\0\0\0\
2012-03-30T22:34:57 346	espresso	localhost	ACTIVE	00:00	0	INSERT INTO `ActivityEvent` (`id`,etag, timestamp, val, schema_version) VALUES('413263880','114845176',1333146897352,_binary[BINARY],1) ON DUPLICATE KEY UPDATE etag= '114845176', timestamp = 1333146897352, val = _binary'&55881409822741
